"filename", "language", "TypeScript", "JSON", "JavaScript", "YAML", "Vue", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\demo.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"e:\MyDrive\my-drive\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MyDrive\my-drive\pnpm-lock.yaml", "YAML", 0, 0, 0, 86, 0, 0, 0, 0, 13, 99
"e:\MyDrive\my-drive\src\main\index.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 10, 0, 8
"e:\MyDrive\my-drive\src\main\ipc\handle.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 3, 20
"e:\MyDrive\my-drive\src\main\ipc\on.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 4, 3, 41
"e:\MyDrive\my-drive\src\main\typings\ipc.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\MyDrive\my-drive\src\main\utils\api\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\MyDrive\my-drive\src\main\utils\api\log\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 4, 3, 18
"e:\MyDrive\my-drive\src\main\utils\api\os\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\MyDrive\my-drive\src\main\utils\api\ws\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 8, 4, 27
"e:\MyDrive\my-drive\src\main\utils\cos\api.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\my-drive\src\main\utils\cos\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\MyDrive\my-drive\src\preload\api\handle\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 3, 3, 21
"e:\MyDrive\my-drive\src\preload\api\on\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\my-drive\src\preload\index.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\MyDrive\my-drive\src\renderer\components.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\MyDrive\my-drive\src\renderer\src\App.vue", "Vue", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"e:\MyDrive\my-drive\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 1, 4, 19
"e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.css", "CSS", 0, 0, 0, 0, 0, -17, 0, 0, -4, -21
"e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"e:\MyDrive\my-drive\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, -3, 0, 0, 1, -2
"e:\MyDrive\my-drive\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 2, 0, 5
