Date : 2024-03-12 10:36:14
Directory : e:\MyDrive\my-drive
Total : 46 files,  1070 codes, 789 comments, 133 blanks, all 1992 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         16 |        507 |        662 |         51 |      1,220 |
| TypeScript |         21 |        350 |        124 |         61 |        535 |
| JSON       |          2 |         91 |          0 |          0 |         91 |
| YAML       |          1 |         86 |          0 |         13 |         99 |
| SCSS       |          2 |         35 |          1 |          8 |         44 |
| JavaScript |          1 |         18 |          0 |          3 |         21 |
| CSS        |          3 |        -17 |          2 |         -3 |        -18 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |         46 |      1,070 |        789 |        133 |      1,992 |
| . (Files)                                                                        |          3 |        105 |          0 |         16 |        121 |
| src                                                                              |         43 |        965 |        789 |        117 |      1,871 |
| src\main                                                                         |         10 |        105 |         30 |         21 |        156 |
| src\main (Files)                                                                 |          1 |         -2 |         10 |          0 |          8 |
| src\main\ipc                                                                     |          2 |         47 |          8 |          6 |         61 |
| src\main\typings                                                                 |          1 |          7 |          0 |          0 |          7 |
| src\main\utils                                                                   |          6 |         53 |         12 |         15 |         80 |
| src\main\utils\api                                                               |          4 |         32 |         12 |          7 |         51 |
| src\main\utils\api (Files)                                                       |          1 |          2 |          0 |          0 |          2 |
| src\main\utils\api\log                                                           |          1 |         11 |          4 |          3 |         18 |
| src\main\utils\api\os                                                            |          1 |          4 |          0 |          0 |          4 |
| src\main\utils\api\ws                                                            |          1 |         15 |          8 |          4 |         27 |
| src\main\utils\cos                                                               |          2 |         21 |          0 |          8 |         29 |
| src\preload                                                                      |          3 |         35 |          3 |          5 |         43 |
| src\preload (Files)                                                              |          1 |         11 |          0 |          0 |         11 |
| src\preload\api                                                                  |          2 |         24 |          3 |          5 |         32 |
| src\preload\api\handle                                                           |          1 |         15 |          3 |          3 |         21 |
| src\preload\api\on                                                               |          1 |          9 |          0 |          2 |         11 |
| src\renderer                                                                     |         30 |        825 |        756 |         91 |      1,672 |
| src\renderer (Files)                                                             |          1 |          5 |          0 |          0 |          5 |
| src\renderer\src                                                                 |         29 |        820 |        756 |         91 |      1,667 |
| src\renderer\src (Files)                                                         |          1 |         12 |          0 |          2 |         14 |
| src\renderer\src\assets                                                          |          5 |         18 |          3 |          5 |         26 |
| src\renderer\src\assets\css                                                      |          5 |         18 |          3 |          5 |         26 |
| src\renderer\src\components                                                      |          1 |        139 |          0 |         16 |        155 |
| src\renderer\src\components\pagination                                           |          1 |        139 |          0 |         16 |        155 |
| src\renderer\src\composables                                                     |          2 |         28 |         49 |         14 |         91 |
| src\renderer\src\composables\common                                              |          1 |         28 |          0 |          4 |         32 |
| src\renderer\src\composables\server                                              |          1 |          0 |         49 |         10 |         59 |
| src\renderer\src\plugins                                                         |          1 |         90 |          0 |          0 |         90 |
| src\renderer\src\plugins\i18n                                                    |          1 |         90 |          0 |          0 |         90 |
| src\renderer\src\router                                                          |          1 |         16 |          1 |          0 |         17 |
| src\renderer\src\store                                                           |          3 |        152 |         41 |         19 |        212 |
| src\renderer\src\store (Files)                                                   |          1 |          1 |          0 |          0 |          1 |
| src\renderer\src\store\config                                                    |          1 |          5 |          0 |          1 |          6 |
| src\renderer\src\store\server                                                    |          1 |        146 |         41 |         18 |        205 |
| src\renderer\src\typings                                                         |          1 |          9 |          0 |          2 |         11 |
| src\renderer\src\views                                                           |         14 |        356 |        662 |         33 |      1,051 |
| src\renderer\src\views\firewall                                                  |          1 |         17 |          0 |          5 |         22 |
| src\renderer\src\views\home                                                      |          2 |        -16 |          0 |          1 |        -15 |
| src\renderer\src\views\home (Files)                                              |          1 |        -10 |          0 |          0 |        -10 |
| src\renderer\src\views\home\components                                           |          1 |         -6 |          0 |          1 |         -5 |
| src\renderer\src\views\index                                                     |          2 |        -60 |        486 |         -6 |        420 |
| src\renderer\src\views\index (Files)                                             |          1 |        -24 |        244 |         -5 |        215 |
| src\renderer\src\views\index\components                                          |          1 |        -36 |        242 |         -1 |        205 |
| src\renderer\src\views\log                                                       |          4 |        255 |          1 |         23 |        279 |
| src\renderer\src\views\log (Files)                                               |          1 |         -2 |          1 |         -2 |         -3 |
| src\renderer\src\views\log\components                                            |          3 |        257 |          0 |         25 |        282 |
| src\renderer\src\views\setting                                                   |          2 |         14 |          0 |          0 |         14 |
| src\renderer\src\views\setting\components                                        |          2 |         14 |          0 |          0 |         14 |
| src\renderer\src\views\terminal                                                  |          2 |        144 |          1 |         11 |        156 |
| src\renderer\src\views\terminal (Files)                                          |          1 |          3 |          1 |          2 |          6 |
| src\renderer\src\views\terminal\components                                       |          1 |        141 |          0 |          9 |        150 |
| src\renderer\src\views\test                                                      |          1 |          2 |        174 |         -1 |        175 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                         | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\MyDrive\my-drive\demo.js                                                      | JavaScript |         18 |          0 |          3 |         21 |
| e:\MyDrive\my-drive\package.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| e:\MyDrive\my-drive\pnpm-lock.yaml                                               | YAML       |         86 |          0 |         13 |         99 |
| e:\MyDrive\my-drive\src\main\index.ts                                            | TypeScript |         -2 |         10 |          0 |          8 |
| e:\MyDrive\my-drive\src\main\ipc\handle.ts                                       | TypeScript |         13 |          4 |          3 |         20 |
| e:\MyDrive\my-drive\src\main\ipc\on.ts                                           | TypeScript |         34 |          4 |          3 |         41 |
| e:\MyDrive\my-drive\src\main\typings\ipc.d.ts                                    | TypeScript |          7 |          0 |          0 |          7 |
| e:\MyDrive\my-drive\src\main\utils\api\index.ts                                  | TypeScript |          2 |          0 |          0 |          2 |
| e:\MyDrive\my-drive\src\main\utils\api\log\index.ts                              | TypeScript |         11 |          4 |          3 |         18 |
| e:\MyDrive\my-drive\src\main\utils\api\os\index.ts                               | TypeScript |          4 |          0 |          0 |          4 |
| e:\MyDrive\my-drive\src\main\utils\api\ws\index.ts                               | TypeScript |         15 |          8 |          4 |         27 |
| e:\MyDrive\my-drive\src\main\utils\cos\api.ts                                    | TypeScript |          5 |          0 |          3 |          8 |
| e:\MyDrive\my-drive\src\main\utils\cos\index.ts                                  | TypeScript |         16 |          0 |          5 |         21 |
| e:\MyDrive\my-drive\src\preload\api\handle\index.ts                              | TypeScript |         15 |          3 |          3 |         21 |
| e:\MyDrive\my-drive\src\preload\api\on\index.ts                                  | TypeScript |          9 |          0 |          2 |         11 |
| e:\MyDrive\my-drive\src\preload\index.d.ts                                       | TypeScript |         11 |          0 |          0 |         11 |
| e:\MyDrive\my-drive\src\renderer\components.d.ts                                 | TypeScript |          5 |          0 |          0 |          5 |
| e:\MyDrive\my-drive\src\renderer\src\App.vue                                     | Vue        |         12 |          0 |          2 |         14 |
| e:\MyDrive\my-drive\src\renderer\src\assets\css\element-plus.scss                | SCSS       |         14 |          1 |          4 |         19 |
| e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.css                    | CSS        |        -17 |          0 |         -4 |        -21 |
| e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.scss                   | SCSS       |         21 |          0 |          4 |         25 |
| e:\MyDrive\my-drive\src\renderer\src\assets\css\styles.css                       | CSS        |         -3 |          0 |          1 |         -2 |
