Date : 2024-03-15 17:17:45
Directory : e:\MyDrive\server-monitor
Total : 216 files,  1342 codes, -271 comments, 184 blanks, all 1255 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |         54 |        984 |       -507 |        107 |        584 |
| TypeScript         |        120 |        289 |        226 |         76 |        591 |
| JSON               |          8 |         58 |          8 |          0 |         66 |
| SCSS               |          4 |         19 |          2 |          2 |         23 |
| YAML               |          8 |         15 |          0 |          2 |         17 |
| CSS                |          8 |          1 |          0 |          0 |          1 |
| Ignore             |          2 |          0 |          0 |          0 |          0 |
| JSON with Comments |          2 |          0 |          0 |          0 |          0 |
| HTML               |          2 |          0 |          0 |          0 |          0 |
| Markdown           |          2 |          0 |          0 |          0 |          0 |
| SVG                |          2 |          0 |          0 |          0 |          0 |
| JavaScript         |          4 |        -24 |          0 |         -3 |        -27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        216 |      1,342 |       -271 |        184 |      1,255 |
| . (Files)                                                                              |         13 |      4,354 |         76 |        650 |      5,080 |
| ..                                                                                     |        103 |     -7,749 |       -985 |     -1,133 |     -9,867 |
| ..\my-drive                                                                            |        103 |     -7,749 |       -985 |     -1,133 |     -9,867 |
| ..\my-drive (Files)                                                                    |         13 |     -4,363 |        -68 |       -651 |     -5,082 |
| ..\my-drive\src                                                                        |         90 |     -3,386 |       -917 |       -482 |     -4,785 |
| ..\my-drive\src\main                                                                   |         19 |       -300 |        -67 |        -84 |       -451 |
| ..\my-drive\src\main (Files)                                                           |          1 |        -51 |        -31 |        -13 |        -95 |
| ..\my-drive\src\main\ipc                                                               |          3 |       -110 |        -19 |        -18 |       -147 |
| ..\my-drive\src\main\model                                                             |          1 |         -9 |          0 |         -5 |        -14 |
| ..\my-drive\src\main\model\menu                                                        |          1 |         -9 |          0 |         -5 |        -14 |
| ..\my-drive\src\main\plugins                                                           |          3 |        -22 |          0 |         -9 |        -31 |
| ..\my-drive\src\main\store                                                             |          1 |         -3 |          0 |         -3 |         -6 |
| ..\my-drive\src\main\typings                                                           |          2 |        -11 |         -1 |         -5 |        -17 |
| ..\my-drive\src\main\utils                                                             |          8 |        -94 |        -16 |        -31 |       -141 |
