"filename", "language", "TypeScript", "Vue", "SVG", "CSS", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\main\index.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 22, 15, 89
"e:\MyDrive\server-monitor\src\main\ipc\handle\common.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 5, 6, 50
"e:\MyDrive\server-monitor\src\main\ipc\handle\file.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\MyDrive\server-monitor\src\main\ipc\handle\firewall.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 7, 10, 77
"e:\MyDrive\server-monitor\src\main\ipc\handle\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\src\main\ipc\handle\server.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 5, 30
"e:\MyDrive\server-monitor\src\main\ipc\handle\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\main\ipc\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\MyDrive\server-monitor\src\main\ipc\on.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 15, 12, 121
"e:\MyDrive\server-monitor\src\main\model\menu\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 1, 9, 31
"e:\MyDrive\server-monitor\src\main\model\windows\index.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"e:\MyDrive\server-monitor\src\main\plugins\auto-import.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\MyDrive\server-monitor\src\main\plugins\componets.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\MyDrive\server-monitor\src\main\plugins\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\MyDrive\server-monitor\src\main\store\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\MyDrive\server-monitor\src\main\typings\config.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\MyDrive\server-monitor\src\main\typings\env.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\main\typings\ipc.d.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"e:\MyDrive\server-monitor\src\main\typings\menu.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\api\common\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\MyDrive\server-monitor\src\main\utils\api\file\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\MyDrive\server-monitor\src\main\utils\api\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\main\utils\api\log\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 4, 3, 18
"e:\MyDrive\server-monitor\src\main\utils\api\os\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 4, 3, 12
"e:\MyDrive\server-monitor\src\main\utils\api\ws\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 8, 4, 27
"e:\MyDrive\server-monitor\src\main\utils\http\index.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"e:\MyDrive\server-monitor\src\main\utils\tencent\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 59, 7, 66
"e:\MyDrive\server-monitor\src\main\utils\tencent\client.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\api.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 44, 14, 170
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\config.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\tencent\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\tencent\typings.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\preload\api\handle\index.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"e:\MyDrive\server-monitor\src\preload\api\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\MyDrive\server-monitor\src\preload\api\on\index.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
"e:\MyDrive\server-monitor\src\preload\index.d.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 24, 8, 93
"e:\MyDrive\server-monitor\src\preload\index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 7, 3, 27
"e:\MyDrive\server-monitor\src\preload\typings\common.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\MyDrive\server-monitor\src\preload\typings\menu.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\renderer\auto-imports.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 5, 2, 10
"e:\MyDrive\server-monitor\src\renderer\components.d.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 5, 2, 50
"e:\MyDrive\server-monitor\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 2, 2, 19
"e:\MyDrive\server-monitor\src\renderer\src\App.vue", "Vue", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 100, 0, 0, 8, 15, 123
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\font.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 3, 8, 20
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 87, 0, 0, 0, 23, 5, 115
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"e:\MyDrive\server-monitor\src\renderer\src\components\Versions.vue", "Vue", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card-2.vue", "Vue", 0, 249, 0, 0, 0, 0, 0, 0, 10, 259
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"e:\MyDrive\server-monitor\src\renderer\src\components\card\social-card.vue", "Vue", 0, 575, 0, 0, 0, 0, 0, 0, 72, 647
