Date : 2024-03-23 15:26:12
Directory : e:\MyDrive\server-monitor\src
Total : 133 files,  7900 codes, 500 comments, 1027 blanks, all 9427 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         46 |      5,461 |         39 |        604 |      6,104 |
| TypeScript |         78 |      1,857 |        424 |        380 |      2,661 |
| JSON       |          1 |        290 |          0 |          1 |        291 |
| CSS        |          4 |        122 |         27 |         20 |        169 |
| SCSS       |          2 |        121 |          8 |         19 |        148 |
| SVG        |          1 |         34 |          0 |          1 |         35 |
| HTML       |          1 |         15 |          2 |          2 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        133 |      7,900 |        500 |      1,027 |      9,427 |
| main                                                                                         |         33 |        665 |        176 |        158 |        999 |
| main (Files)                                                                                 |          1 |         52 |         22 |         15 |         89 |
| main\ipc                                                                                     |          8 |        240 |         33 |         41 |        314 |
| main\ipc (Files)                                                                             |          2 |         96 |         15 |         13 |        124 |
| main\ipc\handle                                                                              |          6 |        144 |         18 |         28 |        190 |
| main\model                                                                                   |          2 |         41 |          2 |         15 |         58 |
| main\model\menu                                                                              |          1 |         21 |          1 |          9 |         31 |
| main\model\windows                                                                           |          1 |         20 |          1 |          6 |         27 |
| main\plugins                                                                                 |          3 |         22 |          0 |          9 |         31 |
| main\store                                                                                   |          1 |          3 |          0 |          3 |          6 |
| main\typings                                                                                 |          4 |         49 |          0 |         10 |         59 |
| main\utils                                                                                   |         14 |        258 |        119 |         65 |        442 |
| main\utils\api                                                                               |          6 |         51 |         16 |         17 |         84 |
| main\utils\api (Files)                                                                       |          1 |          5 |          0 |          1 |          6 |
| main\utils\api\common                                                                        |          1 |          6 |          0 |          3 |          9 |
| main\utils\api\file                                                                          |          1 |          9 |          0 |          3 |         12 |
| main\utils\api\log                                                                           |          1 |         11 |          4 |          3 |         18 |
| main\utils\api\os                                                                            |          1 |          5 |          4 |          3 |         12 |
| main\utils\api\ws                                                                            |          1 |         15 |          8 |          4 |         27 |
| main\utils\http                                                                              |          1 |         27 |          0 |          9 |         36 |
| main\utils\tencent                                                                           |          7 |        180 |        103 |         39 |        322 |
| main\utils\tencent (Files)                                                                   |          4 |         36 |         59 |         17 |        112 |
| main\utils\tencent\firewall                                                                  |          3 |        144 |         44 |         22 |        210 |
| preload                                                                                      |          7 |        195 |         31 |         30 |        256 |
| preload (Files)                                                                              |          2 |         78 |         31 |         11 |        120 |
| preload\api                                                                                  |          3 |        109 |          0 |         17 |        126 |
| preload\api (Files)                                                                          |          1 |          9 |          0 |          4 |         13 |
| preload\api\handle                                                                           |          1 |         47 |          0 |          9 |         56 |
| preload\api\on                                                                               |          1 |         53 |          0 |          4 |         57 |
| preload\typings                                                                              |          2 |          8 |          0 |          2 |         10 |
| renderer                                                                                     |         93 |      7,040 |        293 |        839 |      8,172 |
| renderer (Files)                                                                             |          3 |         61 |         12 |          6 |         79 |
| renderer\src                                                                                 |         90 |      6,979 |        281 |        833 |      8,093 |
| renderer\src (Files)                                                                         |          2 |         20 |          0 |          6 |         26 |
| renderer\src\assets                                                                          |          7 |        277 |         35 |         40 |        352 |
| renderer\src\assets (Files)                                                                  |          1 |         34 |          0 |          1 |         35 |
| renderer\src\assets\css                                                                      |          6 |        243 |         35 |         39 |        317 |
| renderer\src\components                                                                      |         20 |      1,998 |          2 |        237 |      2,237 |
| renderer\src\components (Files)                                                              |          1 |         12 |          0 |          3 |         15 |
| renderer\src\components\card                                                                 |          3 |        867 |          0 |         85 |        952 |
| renderer\src\components\checkbox                                                             |          1 |        116 |          1 |         15 |        132 |
| renderer\src\components\editor                                                               |          4 |        129 |          1 |         26 |        156 |
| renderer\src\components\explorer                                                             |          4 |        227 |          0 |         36 |        263 |
| renderer\src\components\menu                                                                 |          3 |        146 |          0 |         16 |        162 |
