"filename", "language", "JavaScript", "YAML", "TypeScript", "Ignore", "JSON", "JSON with Comments", "Markdown", "Vue", "CSS", "comment", "blank", "total"
"e:\MyDrive\server-monitor\.eslintrc.cjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"e:\MyDrive\server-monitor\.prettierignore", "Ignore", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\MyDrive\server-monitor\.prettierrc.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\1.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 13
"e:\MyDrive\server-monitor\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 13, 35
"e:\MyDrive\server-monitor\dev-app-update.yml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyDrive\server-monitor\electron-builder.yml", "YAML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"e:\MyDrive\server-monitor\electron.vite.config.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"e:\MyDrive\server-monitor\package.json", "JSON", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 78
"e:\MyDrive\server-monitor\pnpm-lock.yaml", "YAML", 0, 4147, 0, 0, 0, 0, 0, 0, 0, 0, 624, 4771
"e:\MyDrive\server-monitor\src\main\index.ts", "TypeScript", 0, 0, -4, 0, 0, 0, 0, 0, 0, 7, -1, 2
"e:\MyDrive\server-monitor\src\main\ipc\handle\common.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 1, 18
"e:\MyDrive\server-monitor\src\main\ipc\handle\file.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 3, 24
"e:\MyDrive\server-monitor\src\main\ipc\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7
"e:\MyDrive\server-monitor\src\main\ipc\on.ts", "TypeScript", 0, 0, -94, 0, 0, 0, 0, 0, 0, -15, -12, -121
"e:\MyDrive\server-monitor\src\main\ipc\on\file.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
