Date : 2024-03-25 20:54:35
Directory : e:\MyDrive\server-monitor
Total : 80 files,  5200 codes, 484 comments, 753 blanks, all 6437 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          4 |      4,197 |          0 |        627 |      4,824 |
| TypeScript         |         37 |        474 |        194 |         71 |        739 |
| Vue                |         28 |        339 |        198 |         31 |        568 |
| JSON               |          4 |        121 |         81 |          3 |        205 |
| Markdown           |          1 |         22 |          0 |         13 |         35 |
| JavaScript         |          2 |         18 |          8 |          5 |         31 |
| CSS                |          2 |         12 |          3 |          1 |         16 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Ignore             |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         80 |      5,200 |        484 |        753 |      6,437 |
| . (Files)                                                                                |         13 |      4,372 |         89 |        652 |      5,113 |
| src                                                                                      |         67 |        828 |        395 |        101 |      1,324 |
| src\main                                                                                 |         12 |         70 |         84 |          5 |        159 |
| src\main (Files)                                                                         |          1 |         -4 |          7 |         -1 |          2 |
| src\main\ipc                                                                             |          6 |         34 |         23 |          4 |         61 |
| src\main\ipc (Files)                                                                     |          2 |        -94 |         -8 |        -12 |       -114 |
| src\main\ipc\handle                                                                      |          2 |         23 |         15 |          4 |         42 |
| src\main\ipc\on                                                                          |          2 |        105 |         16 |         12 |        133 |
| src\main\model                                                                           |          2 |          1 |          6 |         -5 |          2 |
| src\main\model\menu                                                                      |          1 |         21 |          7 |          1 |         29 |
| src\main\model\windows                                                                   |          1 |        -20 |         -1 |         -6 |        -27 |
| src\main\typings                                                                         |          1 |          6 |          7 |          0 |         13 |
| src\main\utils                                                                           |          2 |         33 |         41 |          7 |         81 |
| src\main\utils\api                                                                       |          1 |         14 |         19 |          2 |         35 |
| src\main\utils\api\file                                                                  |          1 |         14 |         19 |          2 |         35 |
| src\main\utils\file                                                                      |          1 |         19 |         22 |          5 |         46 |
| src\preload                                                                              |          5 |         23 |         48 |          1 |         72 |
