"filename", "language", "JavaScript", "YAML", "TypeScript", "Ignore", "JSON", "JSON with Comments", "Markdown", "SVG", "Vue", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"e:\MyDrive\server-monitor\.eslintrc.cjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"e:\MyDrive\server-monitor\.prettierignore", "Ignore", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\MyDrive\server-monitor\.prettierrc.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\1.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 13
"e:\MyDrive\server-monitor\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 13, 35
"e:\MyDrive\server-monitor\dev-app-update.yml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyDrive\server-monitor\electron-builder.yml", "YAML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"e:\MyDrive\server-monitor\electron.vite.config.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"e:\MyDrive\server-monitor\package.json", "JSON", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"e:\MyDrive\server-monitor\pnpm-lock.yaml", "YAML", 0, 4147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 624, 4771
"e:\MyDrive\server-monitor\src\main\index.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 14, 91
"e:\MyDrive\server-monitor\src\main\ipc\handle\common.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 68
"e:\MyDrive\server-monitor\src\main\ipc\handle\file.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 44
"e:\MyDrive\server-monitor\src\main\ipc\handle\firewall.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 77
"e:\MyDrive\server-monitor\src\main\ipc\handle\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\src\main\ipc\handle\server.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 30
"e:\MyDrive\server-monitor\src\main\ipc\handle\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\main\ipc\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 10
"e:\MyDrive\server-monitor\src\main\ipc\on\file.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"e:\MyDrive\server-monitor\src\main\ipc\on\index.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 126
"e:\MyDrive\server-monitor\src\main\model\menu\index.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 60
"e:\MyDrive\server-monitor\src\main\plugins\auto-import.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\MyDrive\server-monitor\src\main\plugins\componets.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\MyDrive\server-monitor\src\main\plugins\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\MyDrive\server-monitor\src\main\store\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\MyDrive\server-monitor\src\main\typings\config.d.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\MyDrive\server-monitor\src\main\typings\env.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\main\typings\ipc.d.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 53
"e:\MyDrive\server-monitor\src\main\typings\menu.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\api\common\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\MyDrive\server-monitor\src\main\utils\api\file\index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 47
"e:\MyDrive\server-monitor\src\main\utils\api\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\main\utils\api\log\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"e:\MyDrive\server-monitor\src\main\utils\api\os\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 12
"e:\MyDrive\server-monitor\src\main\utils\api\ws\index.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 27
"e:\MyDrive\server-monitor\src\main\utils\file\index.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 46
"e:\MyDrive\server-monitor\src\main\utils\http\index.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"e:\MyDrive\server-monitor\src\main\utils\tencent\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 7, 66
"e:\MyDrive\server-monitor\src\main\utils\tencent\client.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\api.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 14, 170
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\config.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"e:\MyDrive\server-monitor\src\main\utils\tencent\firewall\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\tencent\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyDrive\server-monitor\src\main\utils\tencent\typings.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\preload\api\handle\index.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 87
"e:\MyDrive\server-monitor\src\preload\api\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 28
